Common Name,Scientific Name
Black-cheeked Warbler,Basileuterus melanogenys
Costa Rican Warbler,Basileuterus melanotis
Rufous-capped Warbler,Basileuterus rufifrons
Three-banded Warbler,Basileuterus trifasciatus
Three-striped Warbler,Basileuterus tristriatus
White-eared Hummingbird,Basilinna leucotis
Giant Antshrike,Batara cinerea
Black-faced Rufous-Warbler,Bathmocercus rufus
Cape Batis,Batis capensis
Western Black-headed Batis,Batis erlangeri
Short-tailed Batis,Batis mixta
Chinspot Batis,Batis molitor
Gray-headed Batis,Batis orientalis
Pygmy Batis,Batis perkeo
Pririt Batis,Batis pririt
Pale Batis,Batis soror
Blyth's Frogmouth,Batrachostomus affinis
Large Frogmouth,Batrachostomus auritus
Sunda Frogmouth,Batrachostomus cornutus
Hodgson's Frogmouth,Batrachostomus hodgsoni
Sri Lanka Frogmouth,Batrachostomus moniliger
Philippine Frogmouth,Batrachostomus septimus
Gould's Frogmouth,Batrachostomus stellatus
White-crowned Hornbill,Berenicornis comatus
Point-tailed Palmcreeper,Berlepschia rikeri
Long-billed Bernieria,Bernieria madagascariensis
Black-and-white Shrike-flycatcher,Bias musicus
White-bearded Antshrike,Biatas nigropectus
Musk Duck,Biziura lobata
Gray-headed Bristlebill,Bleda canicapillus
Lesser Bristlebill,Bleda notatus
Red-tailed Bristlebill,Bleda syndactylus
Bay Woodpecker,Blythipicus pyrrhotis
Maroon Woodpecker,Blythipicus rubiginosus
Buff-tailed Coronet,Boissonneaua flavescens
Velvet-purple Coronet,Boissonneaua jardini
Chestnut-breasted Coronet,Boissonneaua matthewsii
Guaiabero,Bolbopsittacus lunulatus
Barred Parakeet,Bolborhynchus lineola
Andean Parakeet,Bolborhynchus orbygnesius
Bridled Honeyeater,Bolemoreus frenatus
Cedar Waxwing,Bombycilla cedrorum
Bohemian Waxwing,Bombycilla garrulus
Japanese Waxwing,Bombycilla japonica
Ruffed Grouse,Bonasa umbellus
Wattled Ibis,Bostrychia carunculata
Hadada Ibis,Bostrychia hagedash
American Bittern,Botaurus lentiginosus
Great Bittern,Botaurus stellaris
White-throated Jacamar,Brachygalba albogularis
Brown Jacamar,Brachygalba lugubris
Puff-backed Bulbul,Brachypodius eutilotus
Black-headed Bulbul,Brachypodius melanocephalos
Black-and-white Bulbul,Brachypodius melanoleucos
Gray-headed Bulbul,Brachypodius priocephalus
Yellow-wattled Bulbul,Brachypodius urostictus
Himalayan Shortwing,Brachypteryx cruralis
Taiwan Shortwing,Brachypteryx goodfellowi
Rusty-bellied Shortwing,Brachypteryx hyperythra
Lesser Shortwing,Brachypteryx leucophris
White-browed Shortwing,Brachypteryx montana
Marbled Murrelet,Brachyramphus marmoratus
African Gray Flycatcher,Bradornis microrhynchus
Little Rush Warbler,Bradypterus baboecala
Barratt's Warbler,Bradypterus barratti
Brown Emutail,Bradypterus brunneus
White-winged Swamp Warbler,Bradypterus carpalis
Cinnamon Bracken-Warbler,Bradypterus cinnamomeus
Evergreen-forest Warbler,Bradypterus lopezi
Knysna Warbler,Bradypterus sylvaticus
Brant,Branta bernicla
Canada Goose,Branta canadensis
Cackling Goose,Branta hutchinsii
Barnacle Goose,Branta leucopsis
Hawaiian Goose,Branta sandvicensis
Yellow-chevroned Parakeet,Brotogeris chiriri
Golden-winged Parakeet,Brotogeris chrysoptera
Cobalt-winged Parakeet,Brotogeris cyanoptera
Orange-chinned Parakeet,Brotogeris jugularis
Gray-cheeked Parakeet,Brotogeris pyrrhoptera
Tui Parakeet,Brotogeris sanctithomae
Plain Parakeet,Brotogeris tirica
White-winged Parakeet,Brotogeris versicolurus
White-billed Buffalo-Weaver,Bubalornis albirostris
Red-billed Buffalo-Weaver,Bubalornis niger
Spotted Eagle-Owl,Bubo africanus
Rock Eagle-Owl,Bubo bengalensis
Eurasian Eagle-Owl,Bubo bubo
Dusky Eagle-Owl,Bubo coromandus
Verreaux's Eagle-Owl,Bubo lacteus
Spot-bellied Eagle-Owl,Bubo nipalensis
Snowy Owl,Bubo scandiacus
Barred Eagle-Owl,Bubo sumatranus
Great Horned Owl,Bubo virginianus
Cattle Egret,Bubulcus ibis
Trumpeter Finch,Bucanetes githagineus
Yellow-spotted Barbet,Buccanodon duchaillui
Collared Puffbird,Bucco capensis
Chestnut-capped Puffbird,Bucco macrodactylus
Spotted Puffbird,Bucco tamatia
Bufflehead,Bucephala albeola
Common Goldeneye,Bucephala clangula
Barrow's Goldeneye,Bucephala islandica
Great Hornbill,Buceros bicornis
Rufous Hornbill,Buceros hydrocorax
Rhinoceros Hornbill,Buceros rhinoceros
Helmeted Hornbill,Buceros vigil
Southern Ground-Hornbill,Bucorvus leadbeateri
Bulwer's Petrel,Bulweria bulwerii
Yellow-billed Oxpecker,Buphagus africanus
Red-billed Oxpecker,Buphagus erythrorynchus
Double-striped Thick-knee,Burhinus bistriatus
Spotted Thick-knee,Burhinus capensis
Bush Thick-knee,Burhinus grallarius
Indian Thick-knee,Burhinus indicus
Eurasian Thick-knee,Burhinus oedicnemus
Senegal Thick-knee,Burhinus senegalensis
Peruvian Thick-knee,Burhinus superciliaris
Water Thick-knee,Burhinus vermiculatus
Black-collared Hawk,Busarellus nigricollis
Gray-faced Buzzard,Butastur indicus
White-eyed Buzzard,Butastur teesa
White-throated Hawk,Buteo albigula
Zone-tailed Hawk,Buteo albonotatus
Augur Buzzard,Buteo augur
Madagascar Buzzard,Buteo brachypterus
Short-tailed Hawk,Buteo brachyurus
Common Buzzard,Buteo buteo
Red-tailed Hawk,Buteo jamaicensis
Eastern Buzzard,Buteo japonicus
Rough-legged Hawk,Buteo lagopus
Red-shouldered Hawk,Buteo lineatus
Gray-lined Hawk,Buteo nitidus
Mountain Buzzard,Buteo oreophilus
Gray Hawk,Buteo plagiatus
Broad-winged Hawk,Buteo platypterus
Ferruginous Hawk,Buteo regalis
Ridgway's Hawk,Buteo ridgwayi
Hawaiian Hawk,Buteo solitarius
Swainson's Hawk,Buteo swainsoni
Common Black Hawk,Buteogallus anthracinus
Chaco Eagle,Buteogallus coronatus
Savanna Hawk,Buteogallus meridionalis
Slate-colored Hawk,Buteogallus schistaceus
Solitary Eagle,Buteogallus solitarius
Great Black Hawk,Buteogallus urubitinga
Hooded Mountain Tanager,Buthraupis montana
Striated Heron,Butorides striata
Green Heron,Butorides virescens
White-thighed Hornbill,Bycanistes albotibialis
Silvery-cheeked Hornbill,Bycanistes brevis
Trumpeter Hornbill,Bycanistes bucinator
Piping Hornbill,Bycanistes fistulator
Black-and-white-casqued Hornbill,Bycanistes subcylindricus
White Cockatoo,Cacatua alba
Ducorps's Cockatoo,Cacatua ducorpsii
Sulphur-crested Cockatoo,Cacatua galerita
Tanimbar Corella,Cacatua goffiniana
Little Corella,Cacatua sanguinea
Long-billed Corella,Cacatua tenuirostris
Yellow-rumped Cacique,Cacicus cela
Mountain Cacique,Cacicus chrysonotus
Golden-winged Cacique,Cacicus chrysopterus
Red-rumped Cacique,Cacicus haemorrhous
Band-tailed Cacique,Cacicus latirostris
Casqued Cacique,Cacicus oseryi
Solitary Black Cacique,Cacicus solitarius
Scarlet-rumped Cacique,Cacicus uropygialis
Chestnut-breasted Cuckoo,Cacomantis castaneiventris
Fan-tailed Cuckoo,Cacomantis flabelliformis
White-crowned Koel,Cacomantis leucolophus
Plaintive Cuckoo,Cacomantis merulinus
Pallid Cuckoo,Cacomantis pallidus
Gray-bellied Cuckoo,Cacomantis passerinus
Banded Bay Cuckoo,Cacomantis sonneratii
Brush Cuckoo,Cacomantis variolosus
Muscovy Duck,Cairina moschata
Striated Fieldwren,Calamanthus fuliginosus
Barred Wren-Warbler,Calamonastes fasciolatus
Gray Wren-Warbler,Calamonastes simplex
Stierling's Wren-Warbler,Calamonastes stierlingi
Lark Bunting,Calamospiza melanocorys
Hume's Lark,Calandrella acutirostris
Greater Short-toed Lark,Calandrella brachydactyla
Red-capped Lark,Calandrella cinerea
Mongolian Short-toed Lark,Calandrella dukhunensis
Lapland Longspur,Calcarius lapponicus
Chestnut-collared Longspur,Calcarius ornatus
Smith's Longspur,Calcarius pictus
Fawn-colored Lark,Calendulauda africanoides
Karoo Lark,Calendulauda albescens
Foxy Lark,Calendulauda alopex
Pink-breasted Lark,Calendulauda poecilosterna
Sabota Lark,Calendulauda sabota
Red-tailed Vanga,Calicalicus madagascariensis
Sharp-tailed Sandpiper,Calidris acuminata
Sanderling,Calidris alba
Dunlin,Calidris alpina
Baird's Sandpiper,Calidris bairdii
Red Knot,Calidris canutus
Broad-billed Sandpiper,Calidris falcinellus
Curlew Sandpiper,Calidris ferruginea
White-rumped Sandpiper,Calidris fuscicollis
Stilt Sandpiper,Calidris himantopus
Purple Sandpiper,Calidris maritima
Western Sandpiper,Calidris mauri
Pectoral Sandpiper,Calidris melanotos
Little Stint,Calidris minuta
Least Sandpiper,Calidris minutilla
Rock Sandpiper,Calidris ptilocnemis
Ruff,Calidris pugnax
Semipalmated Sandpiper,Calidris pusilla
Spoon-billed Sandpiper,Calidris pygmaea
Red-necked Stint,Calidris ruficollis
Long-toed Stint,Calidris subminuta
Buff-breasted Sandpiper,Calidris subruficollis
Temminck's Stint,Calidris temminckii
Great Knot,Calidris tenuirostris
Surfbird,Calidris virgata
Yellow-faced Honeyeater,Caligavis chrysops
Black-throated Honeyeater,Caligavis subfrenata
Spectacled Finch,Callacanthis burtoni
North Island Kokako,Callaeas wilsoni
Siberian Rubythroat,Calliope calliope
Firethroat,Calliope pectardens
Himalayan Rubythroat,Calliope pectoralis
Chinese Rubythroat,Calliope tschebaiewi
California Quail,Callipepla californica
Elegant Quail,Callipepla douglasii
Gambel's Quail,Callipepla gambelii
Scaled Quail,Callipepla squamata
Gang-gang Cockatoo,Callocephalon fimbriatum
Black-throated Magpie-Jay,Calocitta colliei
White-throated Magpie-Jay,Calocitta formosa
Cory's Shearwater,Calonectris diomedea
Brown Barbet,Caloramphus fuliginosus
Lucifer Hummingbird,Calothorax lucifer
Anna's Hummingbird,Calypte anna
Costa's Hummingbird,Calypte costae
Green Broadbill,Calyptomena viridis
Whitehead's Broadbill,Calyptomena whiteheadi
Eastern Chat-Tanager,Calyptophilus frugivorus
Western Chat-Tanager,Calyptophilus tertius
Red-tailed Black-Cockatoo,Calyptorhynchus banksii
Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus
Glossy Black-Cockatoo,Calyptorhynchus lathami
Carnaby's Black-Cockatoo,Calyptorhynchus latirostris
Green-backed Camaroptera,Camaroptera brachyura
Olive-green Camaroptera,Camaroptera chloronota
Yellow-browed Camaroptera,Camaroptera superciliaris
Black Cuckooshrike,Campephaga flava
Purple-throated Cuckooshrike,Campephaga quiscalina
Guayaquil Woodpecker,Campephilus gayaquilensis
Pale-billed Woodpecker,Campephilus guatemalensis
Crimson-bellied Woodpecker,Campephilus haematogaster
Cream-backed Woodpecker,Campephilus leucopogon
Magellanic Woodpecker,Campephilus magellanicus
Crimson-crested Woodpecker,Campephilus melanoleucos
Powerful Woodpecker,Campephilus pollens
Robust Woodpecker,Campephilus robustus
Red-necked Woodpecker,Campephilus rubricollis
Golden-tailed Woodpecker,Campethera abingoni
Green-backed Woodpecker,Campethera cailliautii
Mombasa Woodpecker,Campethera mombassica
Nubian Woodpecker,Campethera nubica
Northern Beardless-Tyrannulet,Camptostoma imberbe
Southern Beardless-Tyrannulet,Camptostoma obsoletum
Lazuline Sabrewing,Campylopterus falcatus
Violet Sabrewing,Campylopterus hemileucurus
Gray-breasted Sabrewing,Campylopterus largipennis
Black-billed Scythebill,Campylorhamphus falcularius
Curve-billed Scythebill,Campylorhamphus procurvoides
Brown-billed Scythebill,Campylorhamphus pusillus
Red-billed Scythebill,Campylorhamphus trochilirostris
White-headed Wren,Campylorhynchus albobrunneus
Cactus Wren,Campylorhynchus brunneicapillus
Giant Wren,Campylorhynchus chiapensis
Fasciated Wren,Campylorhynchus fasciatus
Bicolored Wren,Campylorhynchus griseus
Spotted Wren,Campylorhynchus gularis
Boucard's Wren,Campylorhynchus jocosus
Gray-barred Wren,Campylorhynchus megalopterus
Stripe-backed Wren,Campylorhynchus nuchalis
Rufous-naped Wren,Campylorhynchus rufinucha
Thrush-like Wren,Campylorhynchus turdinus
Yucatan Wren,Campylorhynchus yucatanicus
Band-backed Wren,Campylorhynchus zonatus
Spruce Grouse,Canachites canadensis
Coyote,Canis latrans
Gray Wolf,Canis lupus
Isthmian Wren,Cantorchilus elutus
Fawn-breasted Wren,Cantorchilus guarayanus
Stripe-throated Wren,Cantorchilus leucopogon
Buff-breasted Wren,Cantorchilus leucotis
Long-billed Wren,Cantorchilus longirostris
Cabanis's Wren,Cantorchilus modestus
Bay Wren,Cantorchilus nigricapillus
Riverside Wren,Cantorchilus semibadius
Superciliated Wren,Cantorchilus superciliaris
Stripe-breasted Wren,Cantorchilus thoracicus
Canebrake Wren,Cantorchilus zeledoni
Gilded Barbet,Capito auratus
Scarlet-crowned Barbet,Capito aurovirens
Black-girdled Barbet,Capito dayi
White-mantled Barbet,Capito hypoleucus
Black-spotted Barbet,Capito niger
Five-colored Barbet,Capito quinticolor
Orange-fronted Barbet,Capito squamatus
Scarlet-banded Barbet,Capito wallacei
Savanna Nightjar,Caprimulgus affinis
Indian Nightjar,Caprimulgus asiaticus
Jerdon's Nightjar,Caprimulgus atripennis
Slender-tailed Nightjar,Caprimulgus clarus
Long-tailed Nightjar,Caprimulgus climacurus
Eurasian Nightjar,Caprimulgus europaeus
Square-tailed Nightjar,Caprimulgus fossii
Jungle Nightjar,Caprimulgus indicus
Gray Nightjar,Caprimulgus jotaka
Large-tailed Nightjar,Caprimulgus macrurus
Madagascar Nightjar,Caprimulgus madagascariensis
Philippine Nightjar,Caprimulgus manillensis
Swamp Nightjar,Caprimulgus natalensis
Black-shouldered Nightjar,Caprimulgus nigriscapularis
Fiery-necked Nightjar,Caprimulgus pectoralis
Abyssinian Nightjar,Caprimulgus poliocephalus
Red-necked Nightjar,Caprimulgus ruficollis
Rufous-cheeked Nightjar,Caprimulgus rufigena
Freckled Nightjar,Caprimulgus tristigma
Yellow Tyrannulet,Capsiempis flaveola
Crested Caracara,Caracara plancus
Canada Warbler,Cardellina canadensis
Wilson's Warbler,Cardellina pusilla
Red Warbler,Cardellina rubra
Red-faced Warbler,Cardellina rubrifrons
Pink-headed Warbler,Cardellina versicolor
Northern Cardinal,Cardinalis cardinalis
Vermilion Cardinal,Cardinalis phoeniceus
Pyrrhuloxia,Cardinalis sinuatus
European Goldfinch,Carduelis carduelis
Citril Finch,Carduelis citrinella
Corsican Finch,Carduelis corsicana
Red-legged Seriema,Cariama cristata
Bornean Ground-Cuckoo,Carpococcyx radiceus
Coral-billed Ground-Cuckoo,Carpococcyx renauldi
Chinese White-browed Rosefinch,Carpodacus dubius
Common Rosefinch,Carpodacus erythrinus
Red-fronted Rosefinch,Carpodacus puniceus
Pink-browed Rosefinch,Carpodacus rodochroa
Great Rosefinch,Carpodacus rubicilla
Streaked Rosefinch,Carpodacus rubicilloides
Long-tailed Rosefinch,Carpodacus sibiricus
Sinai Rosefinch,Carpodacus synoicus
Himalayan White-browed Rosefinch,Carpodacus thura
Hooded Berryeater,Carpornis cucullata
Black-headed Berryeater,Carpornis melanocephala
Pale Rockfinch,Carpospiza brachydactyla
Golden Monarch,Carterornis chrysomela
White-eared Monarch,Carterornis leucotis
White-naped Monarch,Carterornis pileatus
Yellow-green Grosbeak,Caryothraustes canadensis
Black-faced Grosbeak,Caryothraustes poliogaster
Rufous Casiornis,Casiornis rufus
Yellow-winged Cacique,Cassiculus melanicterus
Southern Cassowary,Casuarius casuarius
Plushcap,Catamblyrhynchus diadema
Band-tailed Seedeater,Catamenia analis
Paramo Seedeater,Catamenia homochroa
Plain-colored Seedeater,Catamenia inornata
Turkey Vulture,Cathartes aura
Orange-billed Nightingale-Thrush,Catharus aurantiirostris
Bicknell's Thrush,Catharus bicknelli
Yellow-throated Nightingale-Thrush,Catharus dryas
Ruddy-capped Nightingale-Thrush,Catharus frantzii
Slaty-backed Nightingale-Thrush,Catharus fuscater
Veery,Catharus fuscescens
Black-billed Nightingale-Thrush,Catharus gracilirostris
Hermit Thrush,Catharus guttatus
Speckled Nightingale-Thrush,Catharus maculatus
Black-headed Nightingale-Thrush,Catharus mexicanus
Gray-cheeked Thrush,Catharus minimus
Russet Nightingale-Thrush,Catharus occidentalis
Swainson's Thrush,Catharus ustulatus
Canyon Wren,Catherpes mexicanus
Cheer Pheasant,Catreus wallichii
Lesser Striped Swallow,Cecropis abyssinica
Greater Striped Swallow,Cecropis cucullata
Red-rumped Swallow,Cecropis daurica
Rufous-chested Swallow,Cecropis semirufa
Striated Swallow,Cecropis striolata
Chestnut-colored Woodpecker,Celeus castaneus
Chestnut Woodpecker,Celeus elegans
Blond-crested Woodpecker,Celeus flavescens
Cream-colored Woodpecker,Celeus flavus
Helmeted Woodpecker,Celeus galeatus
Scale-breasted Woodpecker,Celeus grammicus
Cinnamon Woodpecker,Celeus loricatus
Pale-crested Woodpecker,Celeus lugubris
Kaempfer's Woodpecker,Celeus obrieni
Ochre-backed Woodpecker,Celeus ochraceus
Rufous-headed Woodpecker,Celeus spectabilis
Ringed Woodpecker,Celeus torquatus
Waved Woodpecker,Celeus undatus
Greater Sage-Grouse,Centrocercus urophasianus
Baird's Sparrow,Centronyx bairdii
Henslow's Sparrow,Centronyx henslowii
Andaman Coucal,Centropus andamanensis
Lesser Coucal,Centropus bengalensis
Bay Coucal,Centropus celebensis
Green-billed Coucal,Centropus chlororhynchos
Black-throated Coucal,Centropus leucogaster
Black-faced Coucal,Centropus melanops
Greater Black Coucal,Centropus menbeki
Buff-headed Coucal,Centropus milo
Blue-headed Coucal,Centropus monachus
Pheasant Coucal,Centropus phasianinus
Short-toed Coucal,Centropus rectunguis
Senegal Coucal,Centropus senegalensis
Greater Coucal,Centropus sinensis
White-browed Coucal,Centropus superciliosus
Malagasy Coucal,Centropus toulou
Philippine Coucal,Centropus viridis
Long-wattled Umbrellabird,Cephalopterus penduliger
Pigeon Guillemot,Cepphus columba
Black Guillemot,Cepphus grylle
Black-casqued Hornbill,Ceratogymna atrata
Round-tailed Manakin,Ceratopipra chloromeros
Scarlet-horned Manakin,Ceratopipra cornuta
Golden-headed Manakin,Ceratopipra erythrocephala
Red-capped Manakin,Ceratopipra mentalis
Red-headed Manakin,Ceratopipra rubrocapilla
Sharp-tailed Ibis,Cercibis oxycerca
Dusky Long-tailed Cuckoo,Cercococcyx mechowi
Barred Long-tailed Cuckoo,Cercococcyx montanus
Olive Long-tailed Cuckoo,Cercococcyx olivinus
Rio de Janeiro Antbird,Cercomacra brasiliana
Rio Branco Antbird,Cercomacra carbonaria
Gray Antbird,Cercomacra cinerascens
Bananal Antbird,Cercomacra ferdinandi
Manu Antbird,Cercomacra manu
Mato Grosso Antbird,Cercomacra melanaria
Jet Antbird,Cercomacra nigricans
Riparian Antbird,Cercomacroides fuscicauda
Willis's Antbird,Cercomacroides laeta
Blackish Antbird,Cercomacroides nigrescens
Parker's Antbird,Cercomacroides parkeri
Black Antbird,Cercomacroides serva
Dusky Antbird,Cercomacroides tyrannina
Miombo Scrub-Robin,Cercotrichas barbata
Karoo Scrub-Robin,Cercotrichas coryphoeus
Rufous-tailed Scrub-Robin,Cercotrichas galactotes
Brown-backed Scrub-Robin,Cercotrichas hartlaubi
Red-backed Scrub-Robin,Cercotrichas leucophrys
Kalahari Scrub-Robin,Cercotrichas paena
Black Scrub-Robin,Cercotrichas podobe
Bearded Scrub-Robin,Cercotrichas quadrivirgata
Brown Scrub-Robin,Cercotrichas signata
Brown Creeper,Certhia americana
Short-toed Treecreeper,Certhia brachydactyla
Sikkim Treecreeper,Certhia discolor
Eurasian Treecreeper,Certhia familiaris
Bar-tailed Treecreeper,Certhia himalayana
Hodgson's Treecreeper,Certhia hodgsoni
Hume's Treecreeper,Certhia manipurensis
Spot-throated Woodcreeper,Certhiasomus stictolaemus
Yellow-chinned Spinetail,Certhiaxis cinnamomeus
